"Word or Utterance","Operation","Date and Time"
"play","Selected word","Feb 17, 2021 9:57:37 AM"
"play","Selected word","Feb 17, 2021 9:57:41 AM"
"play","Selected word","Feb 17, 2021 9:57:43 AM"
"eat","Selected word","Feb 17, 2021 9:57:45 AM"
"drink","Selected word","Feb 17, 2021 9:57:47 AM"
"fruit snacks","Selected word","Feb 17, 2021 9:57:51 AM"
"chips","Selected word","Feb 17, 2021 9:57:58 AM"
"play play play eat drink fruit snacks chips","Deleted message","Feb 17, 2021 9:58:00 AM"
"play","Selected word","Feb 17, 2021 9:58:02 AM"
"go","Selected word","Feb 17, 2021 9:58:04 AM"
"play go","Deleted message","Feb 17, 2021 9:59:18 AM"
"play","Selected word","Feb 17, 2021 9:59:28 AM"
"eat","Selected word","Feb 17, 2021 9:59:31 AM"
"play eat","Deleted message","Feb 17, 2021 9:59:33 AM"
"UP","Selected word","Feb 17, 2021 9:59:56 AM"
"up","Deleted message","Feb 17, 2021 9:59:58 AM"
"UP","Selected word","Feb 17, 2021 9:59:59 AM"
"play","Selected word","Feb 17, 2021 10:00:02 AM"
"up play","Deleted message","Feb 17, 2021 10:00:03 AM"
"UP","Selected word","Feb 17, 2021 10:00:26 AM"
"UP","Selected word","Feb 17, 2021 10:00:26 AM"
"DOWN","Selected word","Feb 17, 2021 10:00:44 AM"
"up up down","Deleted message","Feb 17, 2021 10:00:45 AM"
"DOWN","Selected word","Feb 17, 2021 10:00:47 AM"
"eat","Selected word","Feb 17, 2021 10:01:10 AM"
"UP","Selected word","Feb 17, 2021 10:01:12 AM"
"DOWN","Selected word","Feb 17, 2021 10:01:20 AM"
"DOWN","Selected word","Feb 17, 2021 10:01:25 AM"
"UP","Selected word","Feb 17, 2021 10:01:29 AM"
"UP","Selected word","Feb 17, 2021 10:01:36 AM"
"UP","Selected word","Feb 17, 2021 10:01:41 AM"
"DOWN","Selected word","Feb 17, 2021 10:01:46 AM"
"down eat up down down up up up down","Deleted message","Feb 17, 2021 10:01:48 AM"
"DOWN","Selected word","Feb 17, 2021 10:01:50 AM"
"DOWN","Selected word","Feb 17, 2021 10:01:57 AM"
"UP","Selected word","Feb 17, 2021 10:02:03 AM"
"UP","Selected word","Feb 17, 2021 10:02:10 AM"
"UP","Selected word","Feb 17, 2021 10:02:13 AM"
"UP","Selected word","Feb 17, 2021 10:02:20 AM"
"DOWN","Selected word","Feb 17, 2021 10:02:25 AM"
"down down up up up up down","Deleted message","Feb 17, 2021 10:02:29 AM"
"UP","Selected word","Feb 17, 2021 10:02:35 AM"
"up","Deleted message","Feb 17, 2021 10:02:50 AM"
"UP","Selected word","Feb 17, 2021 10:02:53 AM"
"play","Selected word","Feb 17, 2021 10:02:59 AM"
"up play","Deleted message","Feb 17, 2021 10:03:01 AM"
"UP","Selected word","Feb 17, 2021 10:03:21 AM"
"up","Deleted message","Feb 17, 2021 10:03:28 AM"
"UP","Selected word","Feb 17, 2021 10:03:36 AM"
"play","Selected word","Feb 17, 2021 10:03:45 AM"
"up play","Deleted message","Feb 17, 2021 10:03:54 AM"
"UP","Selected word","Feb 17, 2021 10:03:56 AM"
"UP","Selected word","Feb 17, 2021 10:04:08 AM"
"UP","Selected word","Feb 17, 2021 10:04:08 AM"
"play","Selected word","Feb 17, 2021 10:05:55 AM"
"up up up play","Deleted message","Feb 17, 2021 10:05:56 AM"
"eat","Selected word","Feb 17, 2021 10:06:00 AM"
"play","Selected word","Feb 17, 2021 10:06:15 AM"
"go","Selected word","Feb 17, 2021 10:06:21 AM"
"eat play go","Deleted message","Feb 17, 2021 10:06:21 AM"
"go","Selected word","Feb 17, 2021 10:06:24 AM"
"yellow","Selected word","Feb 17, 2021 10:06:31 AM"
"go","Selected word","Feb 17, 2021 10:06:37 AM"
"go yellow go","Deleted message","Feb 17, 2021 10:06:38 AM"
"go","Selected word","Feb 17, 2021 10:06:48 AM"
"go","Deleted message","Feb 17, 2021 10:06:54 AM"
"go","Selected word","Feb 17, 2021 10:06:57 AM"
"go","Deleted message","Feb 17, 2021 10:06:59 AM"
"GO","Selected word","Feb 17, 2021 10:07:11 AM"
"stop","Selected word","Feb 17, 2021 10:07:30 AM"
"stop","Selected word","Feb 17, 2021 10:07:31 AM"
"go stop stop","Deleted message","Feb 17, 2021 10:07:32 AM"
"MORE","Selected word","Feb 17, 2021 10:07:34 AM"
"GO","Selected word","Feb 17, 2021 10:07:35 AM"
"stop","Selected word","Feb 17, 2021 10:07:42 AM"
"stop","Selected word","Feb 17, 2021 10:07:47 AM"
"more go stop stop","Deleted message","Feb 17, 2021 10:07:48 AM"
"eat","Selected word","Feb 17, 2021 10:08:07 AM"
"fruit snacks","Selected word","Feb 17, 2021 10:08:11 AM"
"GO","Selected word","Feb 17, 2021 10:08:16 AM"
"eat fruit snacks go","Deleted message","Feb 17, 2021 10:08:31 AM"
"MORE","Selected word","Feb 17, 2021 10:08:35 AM"
"GO","Selected word","Feb 17, 2021 10:08:38 AM"
"eat","Selected word","Feb 17, 2021 10:08:44 AM"
"eat","Selected word","Feb 17, 2021 10:08:48 AM"
"eat","Selected word","Feb 17, 2021 10:09:17 AM"
"eat","Selected word","Feb 17, 2021 10:09:25 AM"
"more go eat eat eat eat","Deleted message","Feb 17, 2021 10:09:39 AM"
"fruit snacks","Selected word","Feb 17, 2021 10:09:40 AM"
"red","Selected word","Feb 17, 2021 10:09:49 AM"
"fruit snacks red","Deleted message","Feb 17, 2021 10:09:50 AM"
"red","Selected word","Feb 17, 2021 10:09:52 AM"
"fruit snacks","Selected word","Feb 17, 2021 10:09:54 AM"
"red fruit snacks","Spoke message","Feb 17, 2021 10:09:55 AM"
"red fruit snacks","Deleted message","Feb 17, 2021 10:09:57 AM"
"MORE","Selected word","Feb 17, 2021 10:10:03 AM"
"eat","Selected word","Feb 17, 2021 10:10:43 AM"
"fruit snacks","Selected word","Feb 17, 2021 10:10:49 AM"
"more eat fruit snacks","Deleted message","Feb 17, 2021 10:10:50 AM"
"water","Selected word","Feb 17, 2021 10:10:59 AM"
"drink","Selected word","Feb 17, 2021 10:11:01 AM"
"water drink","Deleted message","Feb 17, 2021 10:11:03 AM"
"water","Selected word","Feb 17, 2021 10:11:05 AM"
"water","Deleted message","Feb 17, 2021 10:11:08 AM"
"water","Selected word","Feb 17, 2021 10:11:11 AM"
"water","Deleted message","Feb 17, 2021 10:11:12 AM"
"eat","Selected word","Feb 17, 2021 10:11:28 AM"
"fruit snacks","Selected word","Feb 17, 2021 10:11:36 AM"
"like","Selected word","Feb 17, 2021 10:11:43 AM"
"fruit snacks","Selected word","Feb 17, 2021 10:11:45 AM"
"eat fruit snacks like fruit snacks","Deleted message","Feb 17, 2021 10:11:48 AM"
"GO","Selected word","Feb 17, 2021 10:11:55 AM"
"GO","Selected word","Feb 17, 2021 10:11:58 AM"
"GO","Selected word","Feb 17, 2021 10:12:00 AM"
"GO","Selected word","Feb 17, 2021 10:12:04 AM"
"go go go go","Deleted message","Feb 17, 2021 10:12:08 AM"
"stop","Selected word","Feb 17, 2021 10:12:48 AM"
"tickle","Selected word","Feb 17, 2021 10:12:53 AM"
"stop tickle","Deleted message","Feb 17, 2021 10:12:55 AM"
"tickle","Selected word","Feb 17, 2021 10:13:00 AM"
"tickle","Selected word","Feb 17, 2021 10:13:07 AM"
"tickle tickle","Deleted message","Feb 17, 2021 10:13:13 AM"
"UP","Selected word","Feb 17, 2021 10:13:21 AM"
"UP","Selected word","Feb 17, 2021 10:13:23 AM"
"tickle","Selected word","Feb 17, 2021 10:13:27 AM"
"UP","Selected word","Feb 17, 2021 10:13:30 AM"
"DOWN","Selected word","Feb 17, 2021 10:13:31 AM"
"up up tickle up down","Deleted message","Feb 17, 2021 10:13:34 AM"
"video game","Selected word","Feb 17, 2021 10:13:41 AM"
"MINE","Selected word","Feb 17, 2021 10:13:43 AM"
"video game mine","Deleted message","Feb 17, 2021 10:13:44 AM"
"UP","Selected word","Feb 17, 2021 10:14:02 AM"
"DOWN","Selected word","Feb 17, 2021 10:14:07 AM"
"DOWN","Selected word","Feb 17, 2021 10:14:10 AM"
"up down down","Deleted message","Feb 17, 2021 10:14:11 AM"
"MORE","Selected word","Feb 17, 2021 10:14:18 AM"
"UP","Selected word","Feb 17, 2021 10:14:22 AM"
"DOWN","Selected word","Feb 17, 2021 10:14:25 AM"
"more up down","Deleted message","Feb 17, 2021 10:14:30 AM"
"MINE","Selected word","Feb 17, 2021 10:14:33 AM"
"UP","Selected word","Feb 17, 2021 10:14:36 AM"
"UP","Selected word","Feb 17, 2021 10:14:42 AM"
"DOWN","Selected word","Feb 17, 2021 10:14:57 AM"
"DOWN","Selected word","Feb 17, 2021 10:14:58 AM"
"mine up up down down","Deleted message","Feb 17, 2021 10:15:05 AM"
"UP","Selected word","Feb 17, 2021 10:15:10 AM"
"UP","Selected word","Feb 17, 2021 10:15:17 AM"
"DOWN","Selected word","Feb 17, 2021 10:15:17 AM"
"up up down","Deleted message","Feb 17, 2021 10:15:24 AM"
"MORE","Selected word","Feb 17, 2021 10:15:41 AM"
"more","Deleted message","Feb 17, 2021 10:15:42 AM"
"eat","Selected word","Feb 17, 2021 10:15:45 AM"
"GO","Selected word","Feb 17, 2021 10:15:47 AM"
"tickle","Selected word","Feb 17, 2021 10:15:50 AM"
"UP","Selected word","Feb 17, 2021 10:15:51 AM"
"DOWN","Selected word","Feb 17, 2021 10:15:52 AM"
"eat go tickle up down","Deleted message","Feb 17, 2021 10:15:53 AM"
"finished","Selected word","Feb 17, 2021 10:16:03 AM"
"finished","Deleted message","Feb 17, 2021 10:16:04 AM"
"stop","Selected word","Feb 17, 2021 10:16:06 AM"
"stop","Deleted message","Feb 17, 2021 10:16:07 AM"
"eat","Selected word","Feb 17, 2021 10:16:14 AM"
"fruit snacks","Selected word","Feb 17, 2021 10:17:20 AM"
"red","Selected word","Feb 17, 2021 10:17:28 AM"
"pencil","Selected word","Feb 17, 2021 10:17:57 AM"
"eat fruit snacks red pencil","Deleted message","Feb 17, 2021 10:18:05 AM"
"pencil","Selected word","Feb 17, 2021 10:18:17 AM"
"brown","Selected word","Feb 17, 2021 10:18:50 AM"
"pencil brown","Deleted message","Feb 17, 2021 10:19:04 AM"
"GO","Selected word","Feb 17, 2021 10:19:11 AM"
"GO","Selected word","Feb 17, 2021 10:19:11 AM"
"fruit snacks","Selected word","Feb 17, 2021 10:19:23 AM"
"go go fruit snacks","Deleted message","Feb 17, 2021 10:19:33 AM"
"stop","Selected word","Feb 17, 2021 10:19:40 AM"
"eat","Selected word","Feb 17, 2021 10:19:53 AM"
"GO","Selected word","Feb 17, 2021 10:19:54 AM"
"stop eat go","Deleted message","Feb 17, 2021 10:20:02 AM"
"stop","Selected word","Feb 17, 2021 10:20:18 AM"
"GO","Selected word","Feb 17, 2021 10:20:22 AM"
"MORE","Selected word","Feb 17, 2021 10:20:46 AM"
"GO","Selected word","Feb 17, 2021 10:20:46 AM"
"stop","Selected word","Feb 17, 2021 10:20:53 AM"
"GO","Selected word","Feb 17, 2021 10:20:56 AM"
"stop","Selected word","Feb 17, 2021 10:21:26 AM"
"stop go more go stop go stop","Deleted message","Feb 17, 2021 10:21:31 AM"
"finished","Selected word","Feb 17, 2021 10:21:59 AM"
"finished","Selected word","Feb 17, 2021 10:22:18 AM"
"GO","Selected word","Feb 17, 2021 10:22:20 AM"
"finished finished go","Deleted message","Feb 17, 2021 10:22:21 AM"
"GO","Selected word","Feb 17, 2021 10:22:23 AM"
"GO","Selected word","Feb 17, 2021 10:28:14 AM"
"drink","Selected word","Feb 17, 2021 10:28:28 AM"
"drink","Selected word","Feb 17, 2021 10:28:36 AM"
"go go drink drink","Deleted message","Feb 17, 2021 10:28:38 AM"
"drink","Selected word","Feb 17, 2021 10:28:45 AM"
"eat","Selected word","Feb 17, 2021 10:28:49 AM"
"drink eat","Deleted message","Feb 17, 2021 10:30:00 AM"
"I","Selected QWERTY","Feb 17, 2021 10:30:13 AM"
"I","Deleted message","Feb 17, 2021 10:30:16 AM"
"red","Selected word","Feb 17, 2021 10:35:21 AM"
"red","Deleted message","Feb 17, 2021 10:41:33 AM"
"fruit snacks","Selected word","Feb 17, 2021 10:41:42 AM"
"fruit snacks","Deleted message","Feb 17, 2021 10:41:44 AM"
"glue","Selected word","Feb 17, 2021 10:41:59 AM"
"happy","Selected word","Feb 17, 2021 10:42:12 AM"
"glue happy","Deleted message","Feb 17, 2021 10:42:14 AM"
"red","Selected word","Mar 23, 2021 2:14:03 PM"
"Babble on","Mar 23, 2021 2:14:15 PM"
"red","Selected word","Mar 23, 2021 2:14:25 PM"
"red red","Deleted message","Mar 23, 2021 2:14:27 PM"
"Babble off","Mar 23, 2021 2:14:28 PM"
"Babble on","Mar 25, 2021 3:26:23 PM"
"Babble off","Mar 25, 2021 3:28:28 PM"
"want","Selected word","Mar 25, 2021 3:41:27 PM"
"want","Deleted message","Apr 7, 2021 1:19:21 PM"
"Babble on","May 3, 2021 2:03:53 PM"
"Babble off","May 3, 2021 2:04:42 PM"
"Babble on","May 3, 2021 2:05:12 PM"
"Babble off","May 3, 2021 2:05:14 PM"
"fruit snacks","Selected word","May 3, 2021 2:06:43 PM"
"fruit snacks","Deleted message","May 3, 2021 2:07:53 PM"
"Babble on","May 3, 2021 2:12:14 PM"
"Babble off","May 3, 2021 2:12:16 PM"
"banana chips","Selected word","May 3, 2021 2:14:07 PM"
"banana chips","Deleted message","May 3, 2021 2:17:35 PM"
"plantain","Selected word","May 3, 2021 2:18:47 PM"
"plantain","Deleted message","May 3, 2021 2:18:52 PM"
"bike","Selected word","May 3, 2021 2:21:28 PM"
"bike","Deleted message","May 3, 2021 2:21:31 PM"
"water","Selected word","May 3, 2021 2:21:52 PM"
"water","Deleted message","May 3, 2021 2:25:57 PM"
